"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Mod.ID","deltaAIC","Weight","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"ACMI",61,5,17,"Yes","Unavg","Mod.13",1.20606534535602,0.283472624354859,0.115401480085666,-3.31440675897303,-8.26094134932659,NA,NA,NA,NA,2.15762897259387,0.730361272503605,6.40677411481728,20.6670648211813,NA,NA
"ACMI",61,5,17,"Yes","Unavg","Mod.4",0,0.518089614396028,0.083372262688616,-3.19458313229915,NA,NA,NA,NA,NA,2.05960319946016,0.867305426714724,NA,NA,NA,NA
"ACMI",61,5,17,"Yes","Unavg","Mod.5",1.91934544488799,0.198437761249114,0.0839111315856382,-3.19644070559454,1.01165452783826,NA,NA,NA,NA,2.06953046803895,0.863861822960639,NA,NA,NA,NA
"ACMI",61,5,17,"Yes","Avg",NA,NA,NA,NA,-3.2289184628982,-2.14100026427342,0,0,0,0,2.08936076757688,0.827802166910852,1.81614507197603,5.85854710257225,0,0
"ARUV",61,27,20,"Yes","Unavg","Mod.1",0.835530277726861,0.311421009361937,0.0469130414170214,-1.58307346635855,-9.12187003749752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",61,27,20,"Yes","Unavg","Mod.15",1.57035745919126,0.215666262939624,0.0849933164149995,-1.66981838033915,-18.1415123549191,-6.41012835389641,NA,NA,NA,-0.452360215899452,-0.0424021400672477,4.46439061759753,16.5489183930581,NA,NA
"ARUV",61,27,20,"Yes","Unavg","Mod.3",0,0.472912727698439,0.0585671977782406,-1.65164228137053,-11.2861485732008,-5.03741474498498,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",61,27,20,"Yes","Avg",NA,NA,NA,NA,-1.63420848312813,-12.0906174549665,-3.76470597464734,0,0,0,-0.0975588372655961,-0.00914471108894579,0.962818440799977,3.56904338552363,0,0
"CARU",61,28,18,"Yes","Unavg","Mod.3",0,0.563225443636086,0.0783259550159403,-1.78019464896894,-11.8402861673746,-11.2641819579649,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",61,28,18,"Yes","Unavg","Mod.7",0.508525616165144,0.436774556363914,0.0928546985145067,-1.53048249893874,-11.9730020435392,-11.8770946293512,NA,NA,NA,-0.245371216693975,-0.709799874818296,NA,NA,NA,NA
"CARU",61,28,18,"Yes","Avg",NA,NA,NA,NA,-1.67112673542082,-11.8982530853089,-11.5318866180995,0,0,0,-0.107171904315985,-0.310022525430923,0,0,0,0
"CEVE",61,23,20,"Yes","Unavg","Mod.15",0,1,0.177604485936982,-2.37587721289841,-23.5171546196012,-23.8942967316012,NA,NA,NA,1.24688267415068,-0.494503079423578,10.1272421562255,33.2530277570275,NA,NA
"CEVE",61,23,20,"Yes","Avg",NA,NA,NA,NA,-2.37587721289841,-23.5171546196012,-23.8942967316012,0,0,0,1.24688267415068,-0.494503079423578,10.1272421562255,33.2530277570275,0,0
"EPAN",61,6,17,"Yes","Unavg","Mod.7",0,1,0.1750966750929,-3.37057441147453,-13.6494331922415,-11.1073200403373,NA,NA,NA,2.39344142035571,0.32705674964801,NA,NA,NA,NA
"EPAN",61,6,17,"Yes","Avg",NA,NA,NA,NA,-3.37057441147453,-13.6494331922415,-11.1073200403373,0,0,0,2.39344142035571,0.32705674964801,0,0,0,0
"PAMY",61,67,65,"Yes","Unavg","Mod.3",0,1,0.0822901432062187,0.0512592306794205,-8.39790014528976,-8.46081844991238,NA,NA,NA,NA,NA,NA,NA,NA,NA
