"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","P.Intercept","P.Elevation.m","P.Elevation.m2","P.Data.Type.nofi","P.Data.Type.Elevation.m.nofi","P.Data.Type.Elevation.m2.nofi","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Data.Type.nofi.CI.Lower","Data.Type.Elevation.m.nofi.CI.Lower","Data.Type.Elevation.m2.nofi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Data.Type.nofi.CI.Upper","Data.Type.Elevation.m.nofi.CI.Upper","Data.Type.Elevation.m2.nofi.CI.Upper"
"MEFE",61,26,13,"No","Global_unavg",0.0423819440574955,-2.61930086176513,7.07833882444436,-4.88207782983458,-1.02032502642099,2.89374477283554,-19.7714104044331,3.79319410863069e-35,0.236783370154324,0.41352596802068,0.0228110387389075,0.817435377549394,0.14626549743095,-3.06499471676916,-4.484403201034,-17.4923599106835,-2.03168032414719,-21.5665979682843,-49.7614374653456,-2.22930958001118,19.4307710239128,6.11394872164853,-0.216835434413097,29.1934070593627,4.64167611667597
"OPHO",61,29,14,"No","Global_unavg",0.156412997493092,-3.14102964885332,-39.2098281640496,-3.40140684445931,-1.97238834918948,-19.6761020227504,-68.1981931895004,3.12491894611699e-15,0.00329156941128782,0.678764609107181,0.0794782334524679,0.542341748975213,0.0181205289752159,-4.15794841146915,-73.3756750183359,-22.1607324803558,-4.71096363214158,-95.7494757787632,-136.0144116528,-2.50975458783749,-18.9130661710628,10.7876199105673,-0.107189339489719,36.7905806143618,-20.5670544744226
"POMU",61,20,10,"No","Global_unavg",0.190710811138619,-3.89135385448653,-44.5705289575571,5.0894437837116,-0.926259565852799,-11.8688228315889,-13.9696378546697,2.43467944057901e-10,0.0238389559346623,0.622886204679085,0.471587738990625,0.779609862713064,0.506943783788604,-5.74074289468669,-103.837120975442,-21.060222417104,-4.72008156888549,-133.440068963889,-67.3883078066066,-3.01702419262235,-18.6239080488921,22.0789026405535,1.43097417609802,64.6754732458105,23.4340477465597
"PTAQ",61,47,23,"No","Global_unavg",0.100557650040238,-2.45716409021585,-35.9191549184042,-16.9279011203805,-0.523899744484513,13.3327216926142,5.37493090191176,3.72999480484234e-18,0.000224449242316181,0.0190139007172205,0.201756606637829,0.337434559416335,0.625338265028001,-3.10819197972892,-58.3203149991758,-32.6521879272027,-1.36910269936176,-15.3870385524842,-17.1510935471373,-1.97570528261265,-19.5832666518694,-4.11772574733545,0.301574737504268,41.2881934655944,26.8204765593494
"RULA",61,18,13,"No","Global_unavg",0.18441840527299,-5.77909051046124,88.5360104421253,-70.4027791484835,0.882314721248499,-31.1896333664525,24.2491293166258,1.25902990429133e-05,0.00763644881850828,0.00459740263592708,0.591185661533603,0.455313283764359,0.44592824759201,-9.09776397128848,38.2353232251703,-130.003333622129,-2.3961250595513,-122.470663758496,-38.8776520545045,-3.82853667108074,170.119064213929,-31.3064161738764,4.54461949122751,52.1078216592427,92.2754859360352
"RUPA",61,33,20,"No","Global_unavg",0.12242145890076,-3.53037638591148,-54.8894061731185,-43.7824649401873,0.0288780117970597,16.2498418252398,24.276430943672,7.17982168409624e-11,0.00183987006324809,0.00120942289175331,0.968071378374804,0.498713112194051,0.17330229593895,-4.81838229128759,-96.1421840110263,-74.2809593658562,-1.46862362808152,-33.9403748695949,-11.2724376832619,-2.66273495394353,-26.2974544476976,-20.8539180422183,1.53189022816006,65.2773853110811,60.65639850143
"RUPE",61,23,23,"No","Global_unavg",0.0451864998596622,-2.98859166805855,13.8931245476271,-20.400871347936,0.130292134972901,-12.4063852416868,3.06564834739711,1.38019848370859e-25,0.0886753941671704,0.016559386106349,0.732116041763298,0.261741337308975,0.794222553396887,-3.63103650461861,-1.3736193649186,-39.037421617672,-0.612848413394219,-35.1119380891879,-20.1916751700653,-2.48841611500092,31.4358703046839,-5.33159834938386,0.911669259762496,8.84706073350672,26.6172916891664
"RUSP",61,15,20,"No","Global_unavg",0.0617451475192935,-3.54010348071509,-26.532008038821,-0.747658063189518,0.4211097411718,4.37295295612828,-9.70580556763379,1.60521169732335e-19,0.0354287545598351,0.933872893154148,0.401410506635767,0.789395167587147,0.438366348658756,-4.53670030040946,-59.8624071955939,-21.5922655055994,-0.5603727754379,-27.7130007820854,-34.7252328458631,-2.89729247266359,-7.12486818857032,14.8721406988396,1.54377699447525,41.7670297923025,15.9515914480924
"SOSI",61,48,19,"No","Global_unavg",0.160951811776843,-2.49045680025501,33.8142967091657,-22.5688263224731,-1.69966825354407,20.6315590214423,-8.55967595828954,5.00895320576046e-20,1.50708585590315e-05,0.000566505299201304,0.0247267897358632,0.325790840659453,0.562057857848488,-3.09657311803727,20.0104710443057,-36.5144709777699,-3.56175390666486,-14.4483290425479,-41.7799824896586,-2.01599941862101,50.9963711173017,-10.6760925179194,-0.458601753977798,70.9366090273002,17.6307720414385
"SPBE",61,17,32,"No","Global_unavg",0.116887484404233,-3.82582689637658,-44.578839880076,-20.0656467134982,0.731365922629608,0.699046586928367,3.41718583297251,1.28155089484975e-10,0.0287552359517211,0.134419684536099,0.314478911715982,0.977653645404979,0.83458369445586,-5.40928554637064,-97.7339938694002,-52.2712430050358,-0.640836592387778,-46.2378690308337,-27.1955278158556,-2.94928584760934,-14.8127964299338,1.5471954273863,2.45320705167293,58.8002758460948,39.4014009067419
