"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Data.Type.nofi.CI.Lower","Data.Type.Elevation.m.nofi.CI.Lower","Data.Type.Elevation.m2.nofi.CI.Lower","Resurvey.Burned.fi.CI.Lower","Resurvey.Unburned.fi.CI.Lower","Elevation.m.Res.Burn.fi.CI.Lower","Elevation.m.Res.Unburn.fi.CI.Lower","Elevation.m2.Res.Burn.fi.CI.Lower","Elevation.m2.Res.Unburn.fi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Data.Type.nofi.CI.Upper","Data.Type.Elevation.m.nofi.CI.Upper","Data.Type.Elevation.m2.nofi.CI.Upper","Resurvey.Burned.fi.CI.Upper","Resurvey.Unburned.fi.CI.Upper","Elevation.m.Res.Burn.fi.CI.Upper","Elevation.m.Res.Unburn.fi.CI.Upper","Elevation.m2.Res.Burn.fi.CI.Upper","Elevation.m2.Res.Unburn.fi.CI.Upper"
"AMAL",60,42,43,"No","Avg.Confidence",-3.24041487295328,-59.2855579532085,-31.0513344378168,-0.236450138185151,NA,NA,NA,NA,NA,NA,NA,NA,-2.2410677209138,-25.8727735115734,-7.93646552431234,0.254824745795312,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",60,42,28,"Yes","Avg.Confidence",-2.60987518546805,-30.9481735939532,-15.6224216407239,NA,NA,NA,-0.83260100244834,-1.00873561938334,-24.1264697645585,-8.47028523320446,NA,NA,-1.83131999926478,-5.06974859809709,3.48653569887829,NA,NA,NA,1.41394873699952,0.1511423465969,27.0644403542497,36.6945133697413,NA,NA
"ATFI",60,24,29,"No","Avg.Confidence",-3.3864264186382,-39.0126672933009,-11.8648188220582,-0.312096773708449,NA,NA,NA,NA,NA,NA,NA,NA,-2.47608931105928,-12.9672271921118,6.5212049424419,0.452565034834325,NA,NA,NA,NA,NA,NA,NA,NA
"CAME",60,32,30,"No","Avg.Confidence",-11.5882016078284,67.0919276786004,-75.0508725850797,-0.355670955673429,NA,NA,NA,NA,NA,NA,NA,NA,-4.14876617940321,254.691534087405,-3.78958198661054,0.303005580238391,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",60,33,21,"Yes","Avg.Confidence",-2.94185155529517,-26.5667019747661,-26.07026789234,NA,NA,NA,-0.491831387423514,-1.32921459510207,NA,NA,NA,NA,-2.11745438430629,-4.4111246420573,-4.93166889181566,NA,NA,NA,1.62140712937498,-0.0788534117106324,NA,NA,NA,NA
"CEVE",60,26,20,"Yes","Avg.Confidence",-3.4518518659929,-32.3858627416507,-38.8054452907777,NA,NA,NA,0.936170446248635,-1.53567316731627,-17.6391452983501,-19.4218566492041,NA,NA,-2.406590016913,2.46073280008345,-11.8129667905704,NA,NA,NA,2.81673700388375,-0.0464171282869902,29.2369301897786,34.3556958380713,NA,NA
"CHUM",60,61,46,"No","Avg.Confidence",-3.12524476390873,-68.6373118800792,-40.7158543444644,-1.03499077947165,-21.0773363638585,NA,NA,NA,NA,NA,NA,NA,-1.97315704869569,-31.4997957463471,-16.0974887718627,0.336278251966846,12.8257792594828,NA,NA,NA,NA,NA,NA,NA
"CLUN",60,44,52,"No","Avg.Confidence",-3.572330756276,-65.7411045875958,-58.9402374670959,-0.38031627638771,-21.3773425763294,NA,NA,NA,NA,NA,NA,NA,-2.38797135490658,-26.5636064153011,-28.858158684839,0.482816362047348,13.5244862841398,NA,NA,NA,NA,NA,NA,NA
"COCA",60,20,23,"No","Avg.Confidence",-4.52807744660631,-76.2795457866048,-38.8896565217877,-0.323165040114005,NA,NA,NA,NA,NA,NA,NA,NA,-2.87547702935202,-21.3070792168126,-3.90542621967123,0.416650476478812,NA,NA,NA,NA,NA,NA,NA,NA
"EPAN",60,18,24,"Yes","Avg.Confidence",-3.72118816566537,-18.2135269169907,-33.8749501855609,NA,NA,NA,1.23416705566029,-0.909756190924252,-46.765089232152,-17.0966853968411,NA,NA,-2.65764606167623,12.9310127682443,-8.29725485311802,NA,NA,NA,3.20889913493941,0.541193742665847,19.437964167312,25.5246527534839,NA,NA
"GAOV",60,11,8,"No","Avg.Confidence",-5.34359159420918,-34.7142497466259,-73.9528385182925,-0.711884427207708,NA,NA,NA,NA,NA,NA,NA,NA,-3.40457109928344,13.0425229955957,-15.4222373635981,0.502028256002261,NA,NA,NA,NA,NA,NA,NA,NA
"GASH",60,21,21,"No","Avg.Confidence",-5.21245303140654,-90.1147669206527,-16.7658216578472,-0.287706876625754,NA,NA,NA,NA,NA,NA,NA,NA,-3.03151729828721,-23.160971114478,11.5729646692443,0.28869102011882,NA,NA,NA,NA,NA,NA,NA,NA
"GOOB",60,20,45,"No","Avg.Confidence",-3.91611067939485,-48.3635580377216,-28.2536668767486,0.199690898932845,-21.0561569281917,NA,NA,NA,NA,NA,NA,NA,-2.70476329343294,-11.6944802166947,-5.05296065124931,1.49417571327997,13.1584775732758,NA,NA,NA,NA,NA,NA,NA
"GYDR",60,17,25,"No","Avg.Confidence",-3.99852616097896,-46.7963921451364,-30.0155523493794,-0.449823074867425,-12.1097983025007,NA,NA,NA,NA,NA,NA,NA,-2.67765030864374,-8.67651214145721,-2.91399506059293,0.998633939104962,16.0709853409264,NA,NA,NA,NA,NA,NA,NA
"HIAL",60,12,9,"No","Avg.Confidence",-4.49721375464593,-44.2777173180813,-16.2273025180027,-0.534485246898676,NA,NA,NA,NA,NA,NA,NA,NA,-3.15088683840485,-4.47154874243789,10.1422724145056,0.408544773927682,NA,NA,NA,NA,NA,NA,NA,NA
"HODI",60,17,9,"No","Avg.Confidence",-7.38162409184222,-159.697650784918,-65.0015514054156,-2.04931127349506,-33.6071356515663,NA,NA,NA,NA,NA,NA,NA,-2.96298769184415,-15.9605630770383,3.75999400282117,0.883201299532613,26.0036344394747,NA,NA,NA,NA,NA,NA,NA
"LIBO",60,48,66,"No","Avg.Confidence",-4.68171235129072,-115.244890681328,-61.6684143439577,-0.414902372190593,-27.0406125908676,NA,NA,NA,NA,NA,NA,NA,-2.81059056716075,-53.4429596799992,-27.2565384870481,0.9981845242193,15.3247948594243,NA,NA,NA,NA,NA,NA,NA
"MANE",60,61,56,"No","Avg.Confidence",-5.94689286985172,-168.28794723016,-70.9416481090888,-0.297088781667583,NA,NA,NA,NA,NA,NA,NA,NA,-3.2577566003018,-79.6265327283077,-28.0589262050563,0.226657671919035,NA,NA,NA,NA,NA,NA,NA,NA
"MEFE",60,26,15,"No","Avg.Confidence",-3.14682180892228,-4.83460593123103,-18.9388267321409,-1.20468716968633,-7.96309397978077,NA,NA,NA,NA,NA,NA,NA,-2.22658232273531,16.5468153913598,5.36279734061563,0.282556664102702,7.34822260976066,NA,NA,NA,NA,NA,NA,NA
