"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Mod.ID","deltaAIC","Weight","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"GOOB",21,20,45,"No","Avg",NA,NA,NA,NA,-4.34787215257083,0.00529379757350151,-3.35901938641893e-06,1.31806215409905,-0.000462034714189649,0,0,0,0,0,0,0
"GYDR",21,17,25,"No","Unavg","Mod.15",1.21332800197024,0.226450710115535,0.0727476091803152,-4.63153014637584,0.00578473255443183,-3.73535310038942e-06,-0.555637277243013,0.00111767460390132,NA,NA,NA,NA,NA,NA,NA
"GYDR",21,17,25,"No","Unavg","Mod.6",0,0.415378979381277,0.0640990649459539,-4.86310405126284,0.00617417037723911,-3.58021018240099e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GYDR",21,17,25,"No","Unavg","Mod.7",0.296365411803777,0.358170310503188,0.0693863607258736,-5.10009094908854,0.00619200204338005,-3.59003816372602e-06,0.42308405466078,NA,NA,NA,NA,NA,NA,NA,NA
"GYDR",21,17,25,"No","Avg",NA,NA,NA,NA,-4.89554564683637,0.00609236867911704,-3.61886249747167e-06,0.0257116912284562,0.000253098207731553,0,0,0,0,0,0,0
"HIAL",21,12,11,"No","Unavg","Mod.2",0,0.508116390083457,0.0641896372182595,-1.70337182158045,-0.00186375481370305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIAL",21,12,11,"No","Unavg","Mod.3",1.95740348931668,0.190949461014493,0.0643976676601246,-1.66004749824097,-0.00186391792778059,NA,-0.0882904113612104,NA,NA,NA,NA,NA,NA,NA,NA
"HIAL",21,12,11,"No","Unavg","Mod.6",1.04763813854169,0.300934148902051,0.0688407284855109,-2.75625729286748,0.000764370453155154,-1.37013575337635e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIAL",21,12,11,"No","Avg",NA,NA,NA,NA,-2.01194825858306,-0.00107289331985829,-4.12320636822581e-07,-0.016859006462171,0,0,0,0,0,0,0,0
"HODI",21,17,10,"No","Unavg","Mod.11",1.42275475475486,0.10845971670467,0.155256395964402,-0.699793044158984,-0.00265632807042907,NA,0.569570044955819,-0.00181441712297374,NA,NA,NA,NA,NA,NA,NA
"HODI",21,17,10,"No","Unavg","Mod.15",0,0.220910182925271,0.170037484500235,-3.26544634863089,0.00441986370298682,-4.26427131918074e-06,1.54614228550353,-0.00337883814972145,NA,NA,NA,NA,NA,NA,NA
"HODI",21,17,10,"No","Unavg","Mod.2",0.708745220385765,0.154993564486327,0.141065920899567,-0.591396650000913,-0.00318528469913145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HODI",21,17,10,"No","Unavg","Mod.3",0.724312439465308,0.153791838051029,0.149635648715282,-0.329390401211789,-0.00319875422329448,NA,-0.57592191562531,NA,NA,NA,NA,NA,NA,NA,NA
"HODI",21,17,10,"No","Unavg","Mod.6",0.382062834091869,0.182495367613595,0.151113645849418,-2.31195811924819,0.00187044229199532,-3.24437219208665e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HODI",21,17,10,"No","Unavg","Mod.7",0.416841474652841,0.179349330219108,0.159600409578554,-2.05162199457694,0.00185337662366974,-3.24104162184655e-06,-0.570996465241907,NA,NA,NA,NA,NA,NA,NA,NA
"HODI",21,17,10,"No","Avg",NA,NA,NA,NA,-1.72946861304733,0.000376396298018711,-2.11538249712381e-06,0.212354057261955,-0.000943210920871681,0,0,0,0,0,0,0
"LIBO",21,48,63,"No","Unavg","Mod.15",0.854185198244295,0.283984747147416,0.206321335387517,-5.45760914764584,0.0117468928291116,-7.62872161673464e-06,1.17529743951582,-0.00104245847560896,NA,NA,NA,NA,NA,NA,NA
"LIBO",21,48,63,"No","Unavg","Mod.6",0.877275395902359,0.280724968616036,0.199880600660526,-4.74710117092522,0.0109785557952519,-7.50675639603357e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIBO",21,48,63,"No","Unavg","Mod.7",0,0.435290284236548,0.204486952159256,-4.96267850649988,0.0110328074866306,-7.54221906952046e-06,0.37721116513275,NA,NA,NA,NA,NA,NA,NA,NA
