"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"CARU",100,33,20,"Yes","Unavg",0.0584320241975722,-2.50669463726774,-14.3127384057104,-15.3400282098699,NA,NA,NA,0.65998750719154,-0.753933540767016,NA,NA,NA,NA
"CEVE",100,26,21,"Yes","Unavg",0.117878602181047,-2.86011233531291,-12.713758498147,-22.6131427512925,NA,NA,NA,1.95939708255942,-0.825496602325943,NA,NA,NA,NA
"CHUM",100,61,49,"No","Unavg",0.162569476438873,-2.49084338750554,-48.8480423098201,-30.6606262627945,-0.792668451789569,-21.1461325374289,NA,NA,NA,NA,NA,NA,NA
"CLUN",100,44,50,"No","Unavg",0.138389337210448,-2.85164785298241,-44.2392138417455,-39.9922956276413,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COCA",100,20,22,"No","Unavg",0.0942577634743494,-3.54686352317313,-42.8416854467811,-18.5922726626827,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EPAN",100,18,26,"Yes","Unavg",0.0952166519997951,-3.09266111404493,0.349617193755153,-15.3122853142694,NA,NA,NA,2.3728015887907,-0.0956769297409036,NA,NA,NA,NA
"GAOV",100,11,9,"No","Unavg",0.096856471565593,-4.36331124893833,-8.11099485904441,-44.6830742741502,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GASH",100,21,22,"No","Unavg",0.188992902337923,-3.85776150431333,-48.8762698396109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOOB",100,20,40,"No","Unavg",0.11792108873486,-3.61916131122615,-41.278879287873,-26.9176722718606,0.79196898054131,NA,NA,NA,NA,NA,NA,NA,NA
"GYDR",100,17,25,"No","Unavg",0.0568333418143707,-3.16562745504553,-25.7099978796253,-15.8493315452404,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIAL",100,12,8,"No","Unavg",0.0507179033128896,-3.84380441030975,-21.3395639909206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HODI",100,17,9,"No","Unavg",0.159221617529332,-4.87627969256251,-79.7425086773679,-22.640295737122,-0.680868989889852,NA,NA,NA,NA,NA,NA,NA,NA
"LIBO",100,48,64,"No","Unavg",0.202553604554063,-3.67837322410976,-82.1683179528469,-42.5732638726446,0.398849671032189,NA,NA,NA,NA,NA,NA,NA,NA
"MANE",100,61,58,"No","Unavg",0.260981756981436,-4.61956457044091,-124.817984477782,-50.1688961502526,NA,NA,NA,NA,NA,NA,NA,NA,NA
