"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","deltaAIC","Weight","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"TITR",73,34,39,"No","Unavg",0,0.547951608126891,0.0531323747807219,-2.43529658208117,-21.441217010049,-8.28830690016689,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TITR",73,34,39,"No","Unavg",1.58622331836193,0.247912365185769,0.0540014914221311,-2.51840419940877,-21.4538770060088,-8.2953934958766,0.161149001837795,NA,NA,NA,NA,NA,NA,NA,NA
"TITR",73,34,39,"No","Unavg",1.97480081518097,0.20413602668734,0.0447835100716599,-2.35286391858052,-16.7893339754621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TITR",73,34,39,"No","Avg",NA,NA,NA,-2.43907251166153,-20.4947386602958,-6.59812171630507,0.0399508301929337,NA,NA,NA,NA,NA,NA,NA,NA
"TRBO",73,10,27,"No","Unavg",0,0.429077695237072,0.219879968997876,-5.70971207732332,-91.0122459820141,-40.0208222119537,-0.398350992856591,-44.2854229240222,NA,NA,NA,NA,NA,NA,NA
"TRBO",73,10,27,"No","Unavg",0.632948226201762,0.312674870168879,0.21090892766696,-6.36277350886968,-109.713538005099,-34.6548558186999,1.10954769506089,NA,NA,NA,NA,NA,NA,NA,NA
"TRBO",73,10,27,"No","Unavg",1.01543967233286,0.25824743459405,0.223234585432937,-4.88040077820957,-62.3819297305373,-23.2480824788387,-2.73240234523723,-121.432373063339,-36.9726276772296,NA,NA,NA,NA,NA,NA
"TRBO",73,10,27,"No","Avg",NA,NA,NA,-5.6997404601684,-89.4659643137622,-34.0115023594219,-0.529631740347242,-50.3614860211132,-9.5480862478455,NA,NA,NA,NA,NA,NA
"VAME",73,95,113,"Yes","Unavg",0,1,0.102066053424844,-1.26104492885892,11.7661628857492,-22.7304990422385,NA,NA,NA,-1.58364100391051,0.336058987796118,50.7347580511404,-4.88424744553873,NA,NA
"VAME",73,95,113,"Yes","Avg",NA,NA,NA,-1.26104492885892,11.7661628857492,-22.7304990422385,NA,NA,NA,-1.58364100391051,0.336058987796118,50.7347580511404,-4.88424744553873,NA,NA
"VASI",73,24,25,"No","Unavg",0,0.728661581850431,0.173146891328413,-3.80961886633074,52.6820146794564,-15.4306922867942,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VASI",73,24,25,"No","Unavg",1.97568516905773,0.271338418149569,0.173214372032234,-3.83383555406175,52.681864126555,-15.4302032332085,0.0480337344908269,NA,NA,NA,NA,NA,NA,NA,NA
"VASI",73,24,25,"No","Avg",NA,NA,NA,-3.8161897840725,52.6819738286703,-15.4305595877679,0.0130333975345574,NA,NA,NA,NA,NA,NA,NA,NA
"ACCI",74,72,58,"No","Unavg",0,0.424317137072966,0.247453095007774,-3.37565040969152,-92.0146135621191,-33.9497232406769,-0.315860063199046,NA,NA,NA,NA,NA,NA,NA,NA
"ACCI",74,72,58,"No","Unavg",0.163491875167097,0.39101080851215,0.244302539165568,-3.52121660436716,-91.7599290227993,-33.8763647665118,NA,NA,NA,NA,NA,NA,NA,NA,NA
